Ranking,Project Name,Location,Sector,Areas of Expertise,Brief Description,-,-,-,,-
1,Pointe Anglaise ,"Kinshasa, DRC","Residential construction, Mixed-use developments, Real estate development","Construction Management, Real Estate Development, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development","Pointe Anglaise blends urban dynamism with an atmosphere of serenity. Situated on the Congo River, Pointe Anglaise offers exceptional views in an iconic residential community that you can call home.

Contemporary architecture and natural beauty unite to form a state-of-the-art hub of tranquility in a prime location.",,,,,
2,Okapi,"Kinshasa, DRC","Residential construction, Mixed-use developments","Construction Management, Operations Leadership, Strategic Planning & Business Growth, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations","The 55 apartments in the Okapi building are intended for the staff of a major bank in the Democratic Republic of Congo. The complex is located in Gombe on a plot of land of typical size for Kinshasa. The scale of the project dictated the choice of a high-rise design to maintain a clear, open communal outdoor area at ground level. In addition to three underground parking levels, the complex comprises a ground floor and twelve upper floors. Each floor contains six apartments, ranging from two to three bedrooms. Given Kinshasa's seismic risk, reinforced concrete was the only structural element required. The facades are designed to limit solar gain and, through their geometry and the use of screens, ensure privacy for each apartment. The contrast is striking between the light-colored plaster and the significantly darker screens.",,,,,
3,Polygon ,"Kinshasa, DRC",Commercial construction,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development",,,,,,
4,Doha Festival City,"Doha, Qatar",Commercial construction,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations","Doha Festival City is a large Emirati-owned shopping mall and entertainment complex located in Umm Salal, north of Doha, Qatar, along Al Shamal Road. It is one of the largest retail developments in Qatar, featuring over 500 stores, 100 dining establishments, and extensive leisure attractions.",,,,,
5,Attock Oil Head Office,"Rawalpindi, Pakistan",Office building,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations",,,,,,
6,Msheireb Downtown,"Doha, Qatar",Mixed-use developments,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development","Msheireb Downtown Doha is a $5.5 billion, 31-hectare sustainable regeneration project in the heart of Qatar's capital. Developed by Msheireb Properties, a subsidiary of the Qatar Foundation, it stands as the world's first fully built smart city district, seamlessly blending modern design with traditional Qatari heritage.",,,,,
7,Port Grand,"Karachi, Pakistan","Hospitality, Real estate development, Recreational development","Construction Management, Real Estate Development, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development","Port Grand is a premier waterfront, dining, and entertainment complex located along the historic 19th-century Native Jetty Bridge in Karachi, Pakistan. Spanning an area of 200,000 square feet, the culturally vibrant destination is known for its wide variety of local and international eateries, entertainment facilities, and scenic views of the Karachi port.",,,,,
8,Pet Clinic & Apartments ,"Kinshasa, DRC",Mixed-use developments,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development",,,,,,
9,Federal Cabinet Building Islamabad,"Islamabad, Pakistan",Office Building,"Construction Management, Operations Leadership, Strategic Planning & Business Growth, Project Delivery & Execution","The Federal Cabinet Building (also known as the Cabinet Block) is a prominent government facility located within the high-security Red Zone of Islamabad, Pakistan. It houses the Cabinet Secretariat and the Cabinet Division, which is the central administrative body responsible for assisting the Federal Cabinet, the Prime Minister, and various Cabinet Committees in decision-making.",,,,,
10,Silver Oaks Luxury Residential Apartments,"Islamabad, Pakistan",Residential construction,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, Contract Negotiation & Client Relations",,,,,,
11,Shamsar Basoko,"Kinshasa, DRC",Residential construction,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development",,,,,,
12,Amaryllis,"Kinshasa, DRC",Mixed-use developments,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations",,,,,,
13,UAC,"Kinshasa, DRC",Commercial construction,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development",,,,,,
14,Eighteen,"Islamabad, Pakistan",Residential construction,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development","Eighteen, a prestigious residential project in Pakistan. Offering luxury villas and apartments at a prime location of Islamabad. ",,,,,
15,Metro Cash & Carry,"Islamabad, Pakistan",Commercial construction,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development",The ⁠METRO Islamabad Store is a massive wholesale and retail hypermarket.,,,,,
16,NUST (National University of Science & Technology) Hostels,"Islamabad, Pakistan",Residential construction,"Construction Management, Operations Leadership, P&L Management & Financial Control, Strategic Planning & Business Growth, Workforce Development & Team Building, Project Delivery & Execution, International Procurement & Supply Chain, Contract Negotiation & Client Relations, Profit Center Development",,,,,,
